class,R_freq,R_angle,R_mean,R_p95,G_freq,G_angle,G_mean,G_p95,B_freq,B_angle,B_mean,B_p95
51,1.0,90.0,40.853994490358126,64.0,11.40175425099138,52.1250163489018,24.382001836547293,94.59999999999991,14.560219778561036,74.05460409907715,6.256198347107438,19.0
53,4.0,0.0,69.41592039800994,134.54999999999995,3.0,0.0,23.29900497512438,96.0,15.556349186104045,45.0,8.365671641791044,23.0
54,2.0,90.0,46.25799648506151,62.0,6.0,0.0,26.51072056239016,113.0,5.0,36.86989764584402,8.23409490333919,26.0
55,5.0,0.0,52.823232323232325,81.0,8.0,0.0,24.631944444444443,86.0,3.0,0.0,7.36300505050505,22.0
56,2.0,0.0,63.62157022548221,95.0,1.0,0.0,14.126596033686498,62.0,1.0,0.0,6.790002716653083,19.0
58,1.0,90.0,41.86178861788618,62.0,20.8806130178211,73.30075576600639,22.57859078590786,92.0,10.63014581273465,48.81407483429036,7.72289972899729,26.25
68,3.0,90.0,30.39877855688758,51.0,8.0,90.0,25.299479755711378,95.0,3.0,90.0,7.414612078715223,20.0
70,2.0,0.0,36.39353099730458,72.0,4.47213595499958,26.56505117707799,44.42273135669362,119.0,2.8284271247461903,45.0,36.723270440251575,155.5
76,1.0,90.0,19.00506756756757,106.0,1.0,90.0,10.224662162162161,63.79999999999973,1.0,90.0,20.048986486486488,112.3499999999998
78,3.0,0.0,55.67238346525946,86.0,39.0,0.0,24.579595426561127,96.0,9.0,0.0,8.507036059806508,28.0
80,1.0,90.0,37.64159702878366,51.0,8.06225774829855,82.8749836510982,27.88765088207985,104.0,6.082762530298219,80.53767779197439,8.909935004642525,28.0
86,1.4142135623730951,45.0,66.10290827740492,88.0,26.1725046566048,6.581944655178011,21.478747203579417,92.0,13.601470508735444,72.89727103094764,8.017897091722595,28.34999999999991
92,2.0,0.0,32.200156985871274,51.0,8.0,0.0,23.824175824175825,87.0,10.0,0.0,6.786499215070644,19.0
96,1.0,0.0,39.05492957746479,58.0,44.553338819890925,9.03948280335512,25.38450704225352,98.0,11.661903789690601,30.96375653207352,10.05774647887324,23.0
99,2.0,0.0,25.945671641791044,40.0,9.055385138137417,6.34019174590991,14.227462686567165,53.0,2.0,0.0,41.53671641791045,217.0
102,1.0,90.0,93.54335563426473,212.0,5.830951894845301,30.96375653207352,32.46635182998819,138.0,1.0,0.0,11.692115964843238,35.0
103,1.0,0.0,48.7239165329053,91.0,2.0,90.0,25.591492776886035,117.75,6.324555320336759,71.56505117707799,8.156500802568218,22.0
107,1.0,90.0,54.558238993710695,73.0,23.769728648009426,67.75097634278764,24.787169811320755,110.0,7.615773105863909,23.19859051364819,8.839245283018869,31.0
120,1.0,90.0,54.210999150176036,87.0,2.0,90.0,30.09457326696613,104.0,41.012193308819754,45.0,8.054267330338716,22.0
124,2.8284271247461903,45.0,38.70183486238532,55.0,19.72308292331602,59.53445508054013,31.877420998980632,108.0,13.892443989449804,59.743562836470744,8.226044852191642,23.0
130,4.0,90.0,56.597201210287444,87.84999999999991,2.0,90.0,17.77231467473525,83.0,1.0,90.0,6.768910741301059,22.0
132,3.605551275463989,33.690067525979785,39.06666666666667,62.0,1.4142135623730951,45.0,27.95613463626493,106.80000000000018,1.4142135623730951,45.0,9.328121606948969,28.800000000000182
134,3.0,90.0,51.55989813994685,77.0,5.0,0.0,29.107285208148806,107.0,7.0,0.0,10.83846324180691,32.0
135,2.0,0.0,38.18149466192171,54.94999999999993,12.083045973594572,24.443954780416536,22.912811387900355,81.94999999999993,17.46424919657298,23.629377730656817,6.903914590747331,19.949999999999932
143,5.0,0.0,61.62210242587601,103.0,7.280109889280518,15.945395900922854,19.88409703504043,83.0,19.4164878389476,55.4914770123316,6.773584905660377,22.0
154,1.0,90.0,103.89754370435938,173.0,2.23606797749979,26.56505117707799,30.31024562956406,105.25,21.18962010041709,70.70995378081128,8.344047355609648,22.0
161,1.4142135623730951,45.0,37.6665062560154,84.14999999999986,3.0,0.0,15.801251203079884,74.0,16.15549442140351,21.80140948635181,20.96679499518768,109.14999999999986
163,7.810249675906654,50.19442890773481,62.48275862068966,83.0,5.0,0.0,21.368275862068966,91.79999999999995,28.442925306655784,10.124671655397817,8.702068965517242,32.59999999999991
164,4.0,0.0,115.02978235967927,151.39999999999998,1.0,0.0,13.794959908361971,73.0,12.083045973594572,65.55604521958347,8.711340206185566,22.0
165,1.0,90.0,53.98687845303867,81.25,4.242640687119285,45.0,21.401588397790054,83.25,3.0,0.0,9.087707182320441,30.0
166,3.605551275463989,33.690067525979785,53.0,73.5,3.605551275463989,33.690067525979785,39.29032258064516,105.5,3.605551275463989,33.690067525979785,11.96774193548387,28.0
168,4.242640687119285,45.0,61.42901716068643,90.0,4.242640687119285,45.0,14.77483099323973,65.89999999999986,4.242640687119285,45.0,6.919916796671867,24.0
170,1.0,90.0,62.03387381602183,84.0,32.14031735997639,84.64417495714481,23.684218975758547,104.0,10.295630140987,29.054604099077146,8.44918927596725,30.0
174,1.0,0.0,53.9447895100069,114.0,4.47213595499958,26.56505117707799,27.814814814814813,97.0,37.33630940518894,20.37643521383639,9.65930526800092,23.0
176,1.0,90.0,108.41855129465749,187.0,1.0,0.0,27.544411668305475,102.0,14.560219778561036,74.05460409907715,9.108379766196876,24.0
177,1.0,90.0,35.79359430604982,49.0,2.8284271247461903,45.0,24.01423487544484,81.0,5.830951894845301,59.03624346792648,8.604982206405694,26.0
178,1.0,0.0,62.13072227873855,87.0,1.0,0.0,17.604272634791453,78.0,1.0,0.0,7.097151576805697,19.0
