class,R_mean,R_xslope,R_yslope,R_texstd,G_mean,G_xslope,G_yslope,G_texstd,B_mean,B_xslope,B_yslope,B_texstd
24,38.910160064697266,-0.4688833951950073,4.629748702049255,10.944657325744629,34.23892402648926,7.721847295761108,-14.170612573623657,34.24233150482178,17.091254711151123,0.5759689807891846,-1.6735999584197998,21.403724670410156
26,104.06262969970703,-7.176673889160156,3.1548399925231934,23.136606216430664,25.21293830871582,8.86164379119873,6.431390762329102,29.609195709228516,7.09185791015625,-0.25490429997444153,0.14596228301525116,4.646175861358643
27,42.61043930053711,2.101936101913452,4.979009628295898,11.026471138000488,22.874103546142578,5.047789096832275,2.4308736324310303,26.068056106567383,22.831382751464844,-16.17631721496582,-13.263917922973633,42.00933074951172
30,47.491336822509766,3.497422933578491,6.166279077529907,13.146576881408691,24.703107833862305,0.42263978719711304,-2.997560501098633,28.792369842529297,8.237654685974121,0.32938008569180965,-0.7179935872554779,9.49953317642212
33,83.64318084716797,-20.78273582458496,-0.8312231302261353,34.795528411865234,27.67926788330078,3.2274928092956543,-7.2913947105407715,33.46062469482422,11.689587593078613,2.222083806991577,-5.6349334716796875,22.39326286315918
34,75.18402862548828,12.285857200622559,-9.579767227172852,15.785700798034668,18.472312927246094,-1.4011648893356323,0.9056113362312317,30.87665557861328,7.156350612640381,-0.4336621165275574,-0.6157769560813904,10.339942932128906
36,35.78371620178223,-2.491163671016693,0.08329296112060547,10.318289041519165,16.746543407440186,0.45285995304584503,-6.969715118408203,19.603007316589355,52.84624671936035,2.8962974548339844,2.0526578426361084,52.23204040527344
37,50.31503518422445,-3.5509295329102315,3.0966223111997047,13.563740034898123,20.638634363810223,1.814004008968671,-0.9611330479383469,22.984092156092327,8.3581356604894,0.02005310682579875,-0.7726374821116527,8.996151506900787
38,39.387166023254395,-0.10923075675964355,3.3558077812194824,7.990673065185547,17.9720516204834,-1.4358858913183212,-0.09889429807662964,27.699870824813843,12.683026790618896,1.4396994709968567,0.7840748429298401,16.696539402008057
40,75.19009399414062,21.04476547241211,-16.221036911010742,23.941343307495117,20.1551570892334,0.9747890830039978,1.1326384544372559,29.107128143310547,10.939473152160645,-2.1479098796844482,1.0876487493515015,26.69169807434082
50,40.64250183105469,-4.311887741088867,3.675943374633789,10.88509464263916,25.3192195892334,1.7896857261657715,2.502230167388916,31.2410945892334,6.42019510269165,-0.10656538605690002,0.502551794052124,7.852495193481445
52,69.43292999267578,-12.495962142944336,3.7102785110473633,27.8956241607666,23.188690185546875,5.011027812957764,-3.419062376022339,33.52908706665039,8.348849296569824,-0.12035028636455536,-0.39463555812835693,10.907118797302246
53,46.28679275512695,-1.1313917636871338,1.0143765211105347,9.787484169006348,26.28679084777832,1.2880923748016357,-0.2875143587589264,36.70806121826172,8.241852760314941,-0.7036338448524475,-0.3543781042098999,16.155153274536133
54,51.59325981140137,2.774982400238514,-5.288706541061401,16.231462955474854,24.134305000305176,2.283987134695053,-4.3216323256492615,27.948710441589355,7.475563049316406,1.6926475167274475,-0.3172445744276047,10.072454452514648
55,63.68021774291992,2.936990261077881,0.10219275206327438,19.45386505126953,14.055011749267578,2.748349189758301,-0.7807278037071228,22.771543502807617,6.794849872589111,1.4666491746902466,-1.0196993350982666,10.381380081176758
57,41.960269927978516,-2.364445447921753,3.1254310607910156,10.536282539367676,22.58561897277832,0.7889280319213867,1.7483396530151367,31.625835418701172,7.729449272155762,-1.4111133813858032,-0.37728890776634216,13.65857982635498
67,30.376535415649414,-1.0154138803482056,-4.203408241271973,14.316417694091797,25.33431625366211,1.3541885614395142,-0.008014739491045475,32.66932678222656,7.3760786056518555,-0.21903900802135468,-0.7967639565467834,10.19238567352295
69,36.356658935546875,1.2006479501724243,-0.00893373228609562,20.54882049560547,44.47991180419922,1.0074259042739868,-9.322182655334473,37.76143264770508,36.77833557128906,-0.13346271216869354,-11.526040077209473,47.850433349609375
75,18.933849334716797,1.9684330224990845,-22.337873458862305,27.489852905273438,10.230452537536621,-3.3969945907592773,-11.725394248962402,19.05508041381836,19.47136116027832,-8.470818519592285,-21.47852897644043,32.11204147338867
77,55.405914306640625,5.238107576966286,2.8482697010040283,16.288952350616455,24.34464168548584,-1.2643114924430847,1.5723899751901627,31.408447265625,8.661768913269043,0.833156805485487,0.2288328967988491,17.083167552947998
79,37.31282424926758,-1.1841871738433838,-2.2972986698150635,7.514064311981201,27.766033172607422,-1.6953368186950684,2.107314109802246,33.912261962890625,8.578857421875,1.3112167119979858,0.8803049921989441,13.190116882324219
85,65.35579299926758,2.8324944972991943,2.5473759174346924,13.38746976852417,20.98257827758789,4.928218185901642,-5.743413686752319,26.630735397338867,6.7668938636779785,-0.2101534903049469,0.35871670581400394,9.974118709564209
91,32.2166633605957,-2.7153539657592773,2.128715753555298,8.775954246520996,23.842063903808594,-1.5848991870880127,-0.8180346488952637,28.527528762817383,6.694444179534912,0.6399608254432678,0.4493067264556885,12.020325660705566
95,39.02399826049805,1.7171814143657684,-2.14564710855484,9.198135137557983,25.195985794067383,-4.129799991846085,2.2977359890937805,31.884695053100586,10.14060091972351,-0.30479210801422596,-3.182000517845154,17.79687786102295
98,25.947994232177734,-0.02233734168112278,3.3498847484588623,8.832662582397461,14.240885734558105,-1.1730213165283203,2.0425987243652344,18.011117935180664,41.57801818847656,-6.892614841461182,-3.0499682426452637,63.318843841552734
101,93.52926635742188,-2.017763376235962,-21.965639114379883,50.63618850708008,32.63560104370117,11.242039680480957,-8.26939868927002,45.309776306152344,11.727092742919922,-4.260941028594971,1.4463274478912354,18.199237823486328
102,48.57444763183594,-10.179126739501953,-0.424774169921875,20.994455337524414,25.825889587402344,-3.9626262187957764,-9.691973686218262,37.31098937988281,8.129372596740723,-1.4486339092254639,0.11744856834411621,10.004083633422852
106,54.52440643310547,1.7172534465789795,1.0784568786621094,12.811062812805176,24.73041343688965,3.1558194160461426,-0.31258946657180786,36.483028411865234,8.953692436218262,-0.7095417976379395,0.6688641309738159,16.874677658081055
119,54.26430130004883,-3.9023454189300537,8.436079025268555,15.61484146118164,30.14959144592285,0.6459745764732361,2.158766984939575,35.05784606933594,8.035001754760742,-0.03845589980483055,-0.4320214092731476,11.344080924987793
123,38.63229751586914,-1.4632889032363892,3.125279188156128,9.989134788513184,31.97274398803711,0.6233187317848206,2.3137519359588623,36.886600494384766,8.148880958557129,0.4828738272190094,-1.3094596862792969,10.834662437438965
129,56.609214782714844,4.763279438018799,0.434445858001709,16.903505325317383,17.751527786254883,4.712271213531494,-4.7339091300964355,28.604516983032227,6.780062198638916,0.6959354877471924,-1.4162709712982178,9.362722396850586
131,37.10470962524414,1.7348942160606384,4.8996089696884155,10.240850925445557,24.746675491333008,2.5000142082571983,11.133241891860962,29.822174072265625,9.920382022857666,-0.37684953212738037,-2.9752947092056274,16.842326164245605
133,51.70764923095703,3.75067937374115,5.264632821083069,14.70107650756836,28.880117416381836,4.737480832729489,-0.014007925987243652,35.30695343017578,10.925848960876465,-1.8322101831436157,0.9815038368105888,18.78056049346924
134,38.22977828979492,-2.6178221702575684,-0.4027012586593628,8.373117446899414,22.602949142456055,3.147221565246582,3.1677632331848145,26.846418380737305,6.9264702796936035,-0.06045074760913849,-0.0830654576420784,10.419500350952148
142,62.07229995727539,5.742834210395813,-8.7478768825531,19.31717872619629,19.97605037689209,0.8172265291213989,3.336164653301239,28.02259349822998,6.836738586425781,0.8252844512462616,0.0987490713596344,10.105236053466797
153,104.03145599365234,-10.493999481201172,17.181028366088867,29.99917984008789,30.28575325012207,3.284731864929199,3.6288421154022217,35.38398742675781,8.359908103942871,0.3449728190898895,0.37540432810783386,12.025690078735352
158,87.10102844238281,-5.226005554199219,-4.054978370666504,14.72811222076416,20.969667434692383,14.85483169555664,6.319369316101074,23.799335479736328,8.353534698486328,1.2676388025283813,-0.022993560880422592,5.144636631011963
160,26.96422815322876,-0.6563291549682617,-10.479480743408203,18.63716220855713,10.406237602233887,2.505406618118286,-0.7269686460494995,16.681990146636963,12.485372424125671,-6.872291564941406,7.5364415645599365,22.65316891670227
162,62.67485809326172,2.90423583984375,1.4795722961425781,14.0592041015625,21.20374870300293,-4.088426113128662,-3.490837812423706,31.478599548339844,8.58814811706543,-2.9517018795013428,-0.199282705783844,17.383583068847656
163,115.20557403564453,0.866500973701477,-0.2788127064704895,25.88640785217285,13.77817440032959,14.149405479431152,6.002270698547363,21.97171974182129,8.646923065185547,-0.18744753301143646,0.6990217566490173,13.556934356689453
164,53.9920654296875,-1.7312484979629517,-7.490053653717041,15.219090461730957,21.393375396728516,1.464260220527649,1.057166337966919,28.878984451293945,9.06694221496582,-0.7478399276733398,0.10291885584592819,15.607333183288574
165,53.03329086303711,-2.3088924884796143,-3.7418854236602783,11.74138355255127,40.066688537597656,1.364762544631958,1.718912124633789,42.512237548828125,12.099993705749512,-0.590360164642334,-0.2533280551433563,7.943274974822998
167,61.59658432006836,10.407548904418945,-10.983622550964355,14.275306701660156,14.86742877960205,9.4490385055542,-11.541287422180176,24.240962982177734,6.915070533752441,2.294973611831665,-2.6224541664123535,10.878222465515137
169,62.00403594970703,-1.9462249279022217,4.238202095031738,13.391690254211426,23.715484619140625,-0.274960994720459,-0.33667659759521484,35.25865173339844,8.463387489318848,-0.7340362071990967,0.6346880197525024,14.470381736755371
173,56.322303771972656,9.116713047027588,2.050447642803192,17.692096710205078,28.043246269226074,-0.7659153938293457,-2.3681106567382812,32.660380363464355,9.535126686096191,-0.28133970499038696,0.09928804449737072,11.790968894958496
175,108.3592758178711,0.527825117111206,-20.642080307006836,33.0341796875,27.526674270629883,4.8721699714660645,-1.5347896814346313,34.10719680786133,9.113282203674316,0.847827136516571,-0.11921173334121704,13.90930461883545
176,35.76533508300781,-1.101177453994751,1.853941798210144,6.884614944458008,23.89171028137207,2.4627251625061035,-1.3194735050201416,27.963369369506836,8.65343189239502,0.9234598278999329,1.9633409976959229,11.38772201538086
177,62.25077819824219,-13.728164672851562,6.85637092590332,13.456226348876953,17.61418342590332,6.930613040924072,-1.4291876554489136,26.200355529785156,7.053702354431152,2.001359224319458,-0.20987677574157715,10.043859481811523
