class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max
37,0.17983425295673117,50.48699417260373,20.875,133.875,0.2617188157507577,38.40568844957798,0.0,171.75,0.23278211209907265,48.96964900185762,0.25,105.625
38,0.042519111123806755,82.11892611801373,19.5,83.5,0.399046062550677,63.416352337538925,0.0,142.5,0.3010892868165706,61.235596145424246,0.0,156.5
40,0.06325812909166528,35.83765295427829,0.0,143.0,0.4271034423983476,72.5319767487223,0.0,216.0,0.20844501109789568,10.234802763423211,0.0,255.0
50,0.04,0.0,15.0,118.0,0.316493825917016,27.786184997020204,0.0,176.0,0.244987152008606,11.580619182228114,0.0,87.0
52,0.09090909090909091,0.0,20.0,189.0,0.06818181818181818,0.0,0.0,226.0,0.2755126171631101,24.851585859712173,0.0,188.0
53,0.03508771929824561,90.0,2.0,80.0,0.08695652173913043,0.0,0.0,249.0,0.07829892479346141,42.23614262908745,0.0,246.0
54,0.07323232323232323,45.0,18.5,176.5,0.056818181818181816,45.0,0.0,173.5,0.20498587696595452,36.03604011899638,0.0,101.5
55,0.027777777777777776,0.0,11.0,135.0,0.013888888888888888,0.0,0.0,238.0,0.013888888888888888,0.0,0.0,184.0
57,0.016666666666666666,90.0,11.0,81.0,0.3706854164223601,64.05770451012833,0.0,199.0,0.2314526454457598,35.17472295785154,0.0,180.0
67,0.023809523809523808,90.0,0.0,103.0,0.06349206349206349,90.0,0.0,223.0,0.023809523809523808,90.0,0.0,154.0
69,0.031746031746031744,0.0,0.0,111.0,0.06349206349206349,0.0,0.0,189.0,0.047784105471398,48.366460663429805,0.0,255.0
75,0.06666666666666667,90.0,0.0,179.0,0.06666666666666667,90.0,0.0,137.0,0.06666666666666667,90.0,0.0,222.0
77,0.039705882352941174,0.0,12.5,126.0,0.26669548340600624,32.67279401948028,0.0,220.0,0.11868378270706055,48.71101145659357,0.0,211.5
79,0.023255813953488372,90.0,19.0,87.0,0.08658720879811474,53.682523881268224,0.0,190.0,0.14187123024396897,79.5874548244055,0.0,182.0
85,0.21353236934218808,82.00423612074147,23.5,96.5,0.5246711371139811,20.087935332282072,0.0,142.5,0.5395312756075086,21.59910805841768,0.0,104.5
91,0.04,0.0,12.0,77.0,0.16,0.0,0.0,169.0,0.2,0.0,0.0,169.0
95,0.06783015134446684,58.7764057883589,13.5,91.0,0.27355072463768115,71.56505117707798,0.0,143.5,0.2944555385797443,33.87548817139381,0.0,165.5
98,0.08695652173913043,0.0,0.0,89.0,0.3915039496960398,1.829659657595133,0.0,133.0,0.08695652173913043,0.0,0.0,255.0
101,0.007575757575757576,90.0,0.0,255.0,0.0446745885985337,30.579226872489016,0.0,248.0,0.007692307692307693,0.0,0.0,255.0
102,0.022222222222222223,0.0,0.0,117.0,0.04878048780487805,90.0,0.0,219.0,0.09217439213535232,15.343766047763868,0.0,109.0
106,0.014925373134328358,0.0,10.0,177.0,0.25966675541643003,58.84797761916001,0.0,251.0,0.10878347780014196,16.174446911780738,0.0,255.0
119,0.0056179775280898875,90.0,0.0,212.0,0.011235955056179775,90.0,0.0,239.0,0.24205120458727658,42.30571571014391,0.0,215.0
123,0.032743615756422886,41.05481377096244,2.0,169.0,0.22058070308385597,55.96564550409711,0.0,249.0,0.1552987358118077,56.187679929434324,0.0,176.0
