class,R_freq,R_angle,R_min,R_max,G_freq,G_angle,G_min,G_max,B_freq,B_angle,B_min,B_max,area_px,centroid_x,centroid_y,y0,y1,x0,x1,bbox_h,bbox_w,R_mean,R_p95,R_contrast,G_mean,G_p95,G_contrast,B_mean,B_p95,B_contrast,driver_channel,driver_corr,top1_freq,top1_angle,top1_coef,top1_score,top2_freq,top2_angle,top2_coef,top2_score,top3_freq,top3_angle,top3_coef,top3_score,top4_freq,top4_angle,top4_coef,top4_score,top5_freq,top5_angle,top5_coef,top5_score,curve_complexity
25,2.0,90.0,1.0,82.0,2.0,90.0,0.0,198.0,1.0,90.0,0.0,226.0,5331,442.0251359969987,228.57099981241794,196,267,377,539,71,162,36.475895704370664,57.0,20.524104295629336,28.43125117238792,121.0,92.56874882761208,16.501406865503657,67.0,50.498593134496346,G,44515.09989747478,2.0,90.0,-812.3783980948026,270.7927993649342,2.8284271247461903,45.0,557.7088322202168,145.67570807742376,1.0,90.0,-220.90639860129758,110.45319930064879,3.605551275463989,33.690067525979785,502.33304796313473,109.07120948567157,1.4142135623730951,45.0,-258.5063910418137,107.076853129642,0.6355755401020042
27,1.0,0.0,25.0,163.0,1.0,0.0,0.0,127.0,2.0,0.0,1.0,47.0,341,105.87096774193549,231.9824046920821,219,246,97,114,27,17,105.5982404692082,141.0,35.40175953079179,21.19648093841642,89.0,67.80351906158359,7.13782991202346,15.0,7.86217008797654,G,3258.6994671545744,1.0,0.0,-150.80194190662957,75.40097095331478,1.0,90.0,-115.41003981481181,57.705019907405905,2.23606797749979,63.43494882292201,134.70028070096726,41.624675883674634,2.23606797749979,26.56505117707799,126.50608186930381,39.092529189403294,3.605551275463989,33.690067525979785,-70.12290969773788,15.225736400182257,0.6708084592013243
28,1.0,90.0,0.0,73.0,1.0,0.0,0.0,136.0,1.0,0.0,0.0,254.0,428,345.6752336448598,276.9602803738318,265,289,332,360,24,28,42.7196261682243,63.0,20.280373831775698,22.80373831775701,80.59999999999991,57.7962616822429,22.80607476635514,133.64999999999998,110.84392523364484,B,3780.276018973083,1.0,0.0,123.5573877435852,61.7786938717926,2.23606797749979,26.56505117707799,-182.05470869156613,56.25799889167438,3.605551275463989,56.309932474020215,239.65913319725274,52.03701334822466,3.0,90.0,-144.60523907443311,36.15130976860828,2.0,90.0,-93.44836056365155,31.149453521217183,0.7397416241622244
31,1.0,90.0,12.0,152.0,1.0,90.0,0.0,238.0,1.0,90.0,0.0,189.0,4509,490.5489021956088,535.3719228210247,509,561,429,553,52,124,47.17320913728099,80.0,32.82679086271901,24.751829673985362,87.0,62.24817032601464,8.162563761366156,20.599999999999454,12.437436238633298,G,7961.74228065629,1.0,90.0,171.1819745297022,85.5909872648511,2.0,0.0,71.80552357377807,23.935174524592693,4.123105625617661,14.036243467926479,-93.0814536896066,18.168950728667507,2.0,90.0,-49.73670633977972,16.578902113259907,2.8284271247461903,45.0,-61.95197742912897,16.182096566154737,0.466576955990874
34,1.0,0.0,27.0,236.0,1.0,90.0,0.0,174.0,1.0,90.0,0.0,255.0,895,167.83240223463687,481.1519553072626,454,508,156,183,54,27,80.63463687150838,163.29999999999995,82.66536312849158,27.95418994413408,101.0,73.04581005586593,12.09050279329609,37.299999999999955,25.209497206703865,R,9105.581953868004,1.0,0.0,323.30050065102375,161.65025032551188,1.0,90.0,232.03427241519265,116.01713620759632,3.0,90.0,-370.3585246545806,92.58963116364515,2.0,0.0,252.34057451574722,84.1135248385824,2.23606797749979,63.43494882292201,-219.08647817317745,67.70144499326781,0.6903678914267445
35,1.0,0.0,27.0,141.0,2.0,0.0,0.0,182.0,1.0,0.0,0.0,184.0,573,199.17452006980804,535.9232111692845,514,562,178,218,48,40,75.55846422338568,105.39999999999998,29.841535776614293,18.44153577661431,89.39999999999998,70.95846422338568,7.322862129144852,20.0,12.677137870855148,G,1331.3882817805625,2.0,0.0,-48.33416295591169,16.111387651970563,1.4142135623730951,45.0,-26.987496120451897,11.178586907582464,2.0,90.0,-30.286925394506653,10.095641798168884,5.0,53.13010235415598,60.2545212733709,10.042420212228484,5.385164807134504,21.80140948635181,62.29085676027557,9.755559745407744,0.7182515845432507
37,1.0,0.0,0.0,97.0,1.0,90.0,0.0,126.0,1.0,0.0,0.0,255.0,328,511.4085365853659,205.6798780487805,194,220,494,529,26,35,36.21341463414634,57.64999999999998,21.436585365853638,16.222560975609756,58.64999999999998,42.427439024390225,50.2530487804878,206.2499999999999,155.99695121951208,B,7322.159308623117,1.0,0.0,397.40264040469617,198.70132020234809,1.0,90.0,189.6653178868552,94.8326589434276,5.0,0.0,-278.61516968917385,46.43586161486231,3.0,0.0,-181.79656288501565,45.44914072125391,3.1622776601683795,18.43494882292201,-175.32656337834612,42.122745691899254,0.5352469535176432
38,1.0,90.0,0.0,255.0,1.0,90.0,0.0,205.0,1.0,90.0,0.0,255.0,26426,305.2784757435859,332.79225005676227,129,567,146,547,438,401,55.99553470067358,101.0,45.00446529932642,16.72852493756149,70.0,53.27147506243851,10.426284719594339,35.0,24.57371528040566,G,22834.476960120865,1.0,90.0,-75.6250454770962,37.8125227385481,3.1622776601683795,71.56505117707799,82.15865632449783,19.738869684434796,5.0990195135927845,11.309932474020213,-119.48784432144083,19.591320220428912,1.0,0.0,36.987294279854595,18.493647139927297,4.123105625617661,14.036243467926479,71.44635513980492,13.945907104187626,0.6549394002100888
39,2.0,0.0,11.0,87.0,2.23606797749979,63.43494882292201,0.0,255.0,1.0,90.0,0.0,207.0,9895,389.15977766548764,203.2600303183426,152,257,309,540,105,231,31.410712481051036,47.0,15.589287518948964,28.686508337544215,153.0,124.31349166245579,10.869226882263769,31.0,20.130773117736233,G,47261.11788902495,2.23606797749979,63.43494882292201,-479.73799958633384,148.24719471961865,2.8284271247461903,45.0,-530.0489082414718,138.45082875297308,4.0,90.0,-474.8812047686764,94.97624095373529,1.0,0.0,172.44721481797745,86.22360740898873,2.23606797749979,26.56505117707799,270.9008164561744,83.71295607500632,0.7312467645328387
41,1.0,0.0,0.0,143.0,1.0,90.0,0.0,216.0,2.0,90.0,0.0,255.0,1186,250.53709949409782,419.67369308600337,390,444,235,274,54,39,75.01264755480607,119.0,43.987352445193935,20.04468802698145,78.5,58.45531197301855,10.863406408094436,38.0,27.136593591905566,G,2187.132751021253,1.0,90.0,-40.967802232203056,20.483901116101528,1.0,0.0,-34.98694050163556,17.49347025081778,2.0,0.0,-47.10136568829836,15.700455229432785,5.0,0.0,-84.26785585595253,14.044642642658756,5.0,90.0,81.03053939853528,13.50508989975588,0.7478207971126223
51,1.0,90.0,15.0,118.0,1.0,90.0,0.0,176.0,1.0,90.0,0.0,87.0,1089,499.4820936639118,367.8172635445363,336,397,488,512,61,24,40.853994490358126,64.0,23.146005509641874,24.382001836547293,94.59999999999991,70.21799816345262,6.256198347107438,19.0,12.74380165289256,G,2678.3514523287386,1.0,90.0,-69.06070610203057,34.53035305101528,2.0,0.0,85.67408429326149,28.55802809775383,2.0,90.0,66.17598955710292,22.058663185700976,4.47213595499958,63.43494882292201,-99.53283392066038,18.189027966259296,1.0,0.0,-30.82412647341397,15.412063236706985,0.709213514008148
53,1.0,0.0,20.0,189.0,3.0,0.0,0.0,226.0,1.0,90.0,0.0,188.0,2010,192.56567164179106,471.08308457711445,431,526,174,218,95,44,69.41592039800994,134.54999999999995,65.13407960199001,23.29900497512438,96.0,72.70099502487562,8.365671641791044,23.0,14.634328358208956,G,8675.561531875821,3.0,0.0,266.8183937823097,66.70459844557743,1.0,0.0,-123.46872144174148,61.73436072087074,2.0,90.0,-103.87106716164448,34.62368905388149,1.0,90.0,56.94611485005673,28.473057425028365,3.605551275463989,33.690067525979785,-129.3897105528693,28.094293780245415,0.696286488093478
54,1.0,0.0,2.0,80.0,1.0,0.0,0.0,249.0,5.0,36.86989764584402,0.0,246.0,2845,381.74446397188046,285.60878734622145,257,314,347,414,57,67,46.25799648506151,62.0,15.742003514938489,26.51072056239016,113.0,86.48927943760984,8.23409490333919,26.0,17.76590509666081,G,4039.0509224401867,1.0,0.0,-84.74735826923799,42.373679134618996,6.0,0.0,-145.70493895274703,20.814991278963863,1.0,90.0,38.9883038125528,19.4941519062764,1.4142135623730951,45.0,37.99886073424331,15.739643470850044,4.123105625617661,75.96375653207353,80.20914081154794,15.656351180906528,0.6285578667495992
55,1.0,90.0,18.0,255.0,3.0,90.0,0.0,243.0,3.0,0.0,0.0,111.0,1584,481.1161616161616,292.5896464646465,264,314,450,537,50,87,52.823232323232325,81.0,28.176767676767675,24.631944444444443,86.0,61.36805555555556,7.36300505050505,22.0,14.63699494949495,G,4828.047412224003,3.0,90.0,-104.78372895149654,26.195932237874135,1.0,90.0,50.504780646280274,25.252390323140137,3.605551275463989,33.690067525979785,96.96286207201072,21.053475745363865,2.0,90.0,-61.65557565646969,20.551858552156563,2.0,0.0,-58.70712893320639,19.569042977735464,0.7674009566814013
56,2.0,0.0,11.0,135.0,1.0,0.0,0.0,238.0,1.0,0.0,0.0,184.0,3681,380.027166530834,528.7791361043195,488,566,342,414,78,72,63.62157022548221,95.0,31.37842977451779,14.126596033686498,62.0,47.873403966313504,6.790002716653083,19.0,12.209997283346917,G,5191.93618385104,1.0,0.0,-127.78733466898247,63.893667334491234,1.0,90.0,67.5096192841763,33.75480964208815,1.4142135623730951,45.0,67.62832668486044,28.01257011346749,2.0,90.0,-67.13229350139848,22.377431167132826,5.0,0.0,92.71817652027785,15.453029420046308,0.6091927449795518
58,1.0,90.0,11.0,81.0,3.0,90.0,0.0,199.0,1.0,0.0,0.0,180.0,1476,425.4024390243902,287.98644986449864,262,322,410,447,60,37,41.86178861788618,62.0,20.138211382113823,22.57859078590786,92.0,69.42140921409214,7.72289972899729,26.25,18.52710027100271,G,3917.087527812144,3.0,90.0,103.33497621076337,25.833744052690843,1.0,90.0,-50.75736976278227,25.378684881391134,2.0,0.0,-71.35125434502363,23.78375144834121,2.23606797749979,63.43494882292201,76.26912158141319,23.56845471470574,3.605551275463989,33.690067525979785,-104.42604613842103,22.673951475635356,0.7869181356944797
