class,driver_channel,rank,freq,angle,coef,score
143,G,1,1.0,90.0,-71.60315667434529,35.80157833717264
143,G,2,1.4142135623730951,45.0,-60.024761256496475,24.863070190647942
143,G,3,2.23606797749979,26.56505117707799,-56.14548693401486,17.349909620067155
143,G,4,2.23606797749979,63.43494882292201,47.609035072550626,14.71200092321105
143,G,5,3.605551275463989,33.690067525979785,63.61277972815481,13.812196613041964
154,G,1,1.0,90.0,-220.38841353614615,110.19420676807307
154,G,2,2.23606797749979,26.56505117707799,351.11019640787106,108.49901758835777
154,G,3,1.0,0.0,-162.52792367276842,81.26396183638421
154,G,4,4.123105625617661,75.96375653207353,151.15102199232018,29.50378794387962
154,G,5,3.0,0.0,108.27059914280656,27.06764978570164
161,B,1,2.23606797749979,63.43494882292201,-153.53958138506087,47.446339957199136
161,B,2,2.8284271247461903,45.0,-178.45171811506128,46.6122802655913
161,B,3,2.0,90.0,-122.52833080277486,40.84277693425829
161,B,4,1.4142135623730951,45.0,-76.11533280724134,31.528003153301153
161,B,5,3.605551275463989,33.690067525979785,-125.9928737763797,27.356741080618292
163,G,1,2.23606797749979,26.56505117707799,-55.30709455867056,17.090832128131385
163,G,2,5.0,0.0,-79.40162847288238,13.233604745480397
163,G,3,3.0,0.0,50.69508473643392,12.67377118410848
163,G,4,2.0,0.0,-36.3765208254538,12.125506941817934
163,G,5,3.605551275463989,56.309932474020215,48.58372189077602,10.548948211608266
164,G,1,1.0,0.0,-220.72320349120108,110.36160174560054
164,G,2,2.23606797749979,26.56505117707799,122.02414939886161,37.70753588839576
164,G,3,2.23606797749979,63.43494882292201,118.68180397537247,36.674694351466286
164,G,4,3.0,0.0,122.62290504269137,30.655726260672843
164,G,5,3.605551275463989,33.690067525979785,-129.71845447379926,28.165673708785423
165,G,1,4.242640687119285,45.0,-140.47760748410178,26.795200332771827
165,G,2,1.0,0.0,-44.774511977092025,22.387255988546013
165,G,3,2.0,90.0,63.680100152619254,21.226700050873085
165,G,4,3.1622776601683795,71.56505117707799,85.68282139902945,20.585561174590946
165,G,5,2.8284271247461903,45.0,-68.64719301995946,17.930912822197314
166,G,1,3.605551275463989,33.690067525979785,-91.96125677226622,19.967480823020807
166,G,2,3.605551275463989,56.309932474020215,61.71802964249403,13.400790904510384
166,G,3,4.47213595499958,26.56505117707799,72.55769549093259,13.259483332946205
166,G,4,4.123105625617661,75.96375653207353,-67.07429485928404,13.092506725585482
166,G,5,3.1622776601683795,18.43494882292201,51.19221922094779,12.29908799954419
168,G,1,1.0,90.0,86.75656069097968,43.37828034548984
168,G,2,4.242640687119285,45.0,164.71230558618583,31.4178131625289
168,G,3,3.605551275463989,56.309932474020215,95.15362367283663,20.660637127148327
168,G,4,2.23606797749979,26.56505117707799,-61.97293688871251,19.150690689938244
168,G,5,3.1622776601683795,18.43494882292201,-77.98014138789283,18.73496862886803
170,G,1,4.0,0.0,123.14544114775913,24.629088229551826
170,G,2,4.123105625617661,14.036243467926479,101.74805477767144,19.86062014198747
170,G,3,4.47213595499958,26.56505117707799,-105.76894115037125,19.328639131075715
170,G,4,3.605551275463989,33.690067525979785,-77.85505232512105,16.9046109072529
170,G,5,3.1622776601683795,18.43494882292201,61.164106732387,14.694864621288307
174,G,1,1.0,90.0,151.24938585781806,75.62469292890903
174,G,2,2.0,90.0,-194.28416924875876,64.76138974958626
174,G,3,4.47213595499958,26.56505117707799,265.5202699319857,48.522235579581114
174,G,4,3.605551275463989,33.690067525979785,206.57701225345272,44.853916479876986
174,G,5,2.0,0.0,-131.12255195950453,43.70751731983484
176,R,1,1.0,90.0,1702.6689995735753,851.3344997867877
176,R,2,3.0,0.0,-1040.260539793481,260.06513494837026
176,R,3,2.23606797749979,26.56505117707799,-777.9446396530789,240.39811433569596
176,R,4,2.0,0.0,-558.4789057479377,186.15963524931257
176,R,5,1.0,0.0,309.7751621610877,154.88758108054384
177,G,1,2.8284271247461903,45.0,-93.98241650140591,24.5485713686235
177,G,2,1.4142135623730951,45.0,52.560967874385085,21.771465745026852
177,G,3,1.0,0.0,-35.187648303774104,17.593824151887052
177,G,4,2.0,0.0,37.79609946031973,12.598699820106576
177,G,5,2.23606797749979,63.43494882292201,-40.67911320777943,12.570537297306226
178,G,1,1.0,0.0,-147.1063114940413,73.55315574702065
178,G,2,1.0,90.0,-114.67710648394923,57.338553241974616
178,G,3,3.605551275463989,33.690067525979785,-101.84551173998135,22.113641917865923
178,G,4,3.0,0.0,88.06334941838907,22.015837354597267
178,G,5,2.23606797749979,26.56505117707799,-56.51939474319858,17.465453487434427
