class,R_mean,G_mean,B_mean,R_contrast,G_contrast,B_contrast,shared_freq,shared_angle,curve_complexity
37,36.21341463414634,16.222560975609756,50.2530487804878,21.436585365853638,42.427439024390225,155.99695121951208,1.0,0.0,0.5352469535176432
38,55.99553470067358,16.72852493756149,10.426284719594339,45.00446529932642,53.27147506243851,24.57371528040566,1.0,90.0,0.6549394002100888
39,31.410712481051036,28.686508337544215,10.869226882263769,15.589287518948964,124.31349166245579,20.130773117736233,2.23606797749979,63.43494882292201,0.7312467645328387
41,75.01264755480607,20.04468802698145,10.863406408094436,43.987352445193935,58.45531197301855,27.136593591905566,1.0,90.0,0.7478207971126223
51,40.853994490358126,24.382001836547293,6.256198347107438,23.146005509641874,70.21799816345262,12.74380165289256,1.0,90.0,0.709213514008148
53,69.41592039800994,23.29900497512438,8.365671641791044,65.13407960199001,72.70099502487562,14.634328358208956,3.0,0.0,0.696286488093478
54,46.25799648506151,26.51072056239016,8.23409490333919,15.742003514938489,86.48927943760984,17.76590509666081,1.0,0.0,0.6285578667495992
55,52.823232323232325,24.631944444444443,7.36300505050505,28.176767676767675,61.36805555555556,14.63699494949495,3.0,90.0,0.7674009566814013
56,63.62157022548221,14.126596033686498,6.790002716653083,31.37842977451779,47.873403966313504,12.209997283346917,1.0,0.0,0.6091927449795518
58,41.86178861788618,22.57859078590786,7.72289972899729,20.138211382113823,69.42140921409214,18.52710027100271,3.0,90.0,0.7869181356944797
68,30.39877855688758,25.299479755711378,7.414612078715223,20.60122144311242,69.70052024428863,12.585387921284777,2.23606797749979,63.43494882292201,0.7408196154057185
70,36.39353099730458,44.42273135669362,36.723270440251575,35.60646900269542,74.57726864330638,118.77672955974842,1.0,90.0,0.6984933325942155
76,19.00506756756757,10.224662162162161,20.048986486486488,86.99493243243244,53.575337837837566,92.30101351351331,1.0,90.0,0.5861969873301973
78,55.67238346525946,24.579595426561127,8.507036059806508,30.327616534740542,71.42040457343887,19.49296394019349,2.0,90.0,0.7112945805057199
80,37.64159702878366,27.88765088207985,8.909935004642525,13.358402971216343,76.11234911792015,19.090064995357473,1.0,90.0,0.7644554320789428
86,66.10290827740492,21.478747203579417,8.017897091722595,21.89709172259508,70.52125279642058,20.332102908277314,1.4142135623730951,45.0,0.714130449395857
92,32.200156985871274,23.824175824175825,6.786499215070644,18.799843014128726,63.175824175824175,12.213500784929355,1.0,0.0,0.749587396600949
96,39.05492957746479,25.38450704225352,10.05774647887324,18.94507042253521,72.61549295774648,12.94225352112676,1.0,0.0,0.7393973332662263
99,25.945671641791044,14.227462686567165,41.53671641791045,14.054328358208956,38.772537313432835,175.46328358208956,2.0,0.0,0.6025233529153597
102,93.54335563426473,32.46635182998819,11.692115964843238,118.45664436573527,105.53364817001182,23.30788403515676,1.0,90.0,0.6653847557765136
103,48.7239165329053,25.591492776886035,8.156500802568218,42.2760834670947,92.15850722311396,13.843499197431782,1.0,90.0,0.7027845950851204
107,54.558238993710695,24.787169811320755,8.839245283018869,18.441761006289305,85.21283018867925,22.16075471698113,1.0,0.0,0.651403039247723
120,54.210999150176036,30.09457326696613,8.054267330338716,32.789000849823964,73.90542673303386,13.945732669661284,1.0,90.0,0.7325133956842111
124,38.70183486238532,31.877420998980632,8.226044852191642,16.29816513761468,76.12257900101937,14.773955147808358,1.0,90.0,0.7064423272663948
130,56.597201210287444,17.77231467473525,6.768910741301059,31.252798789712465,65.22768532526476,15.23108925869894,1.0,90.0,0.7110489850017341
132,39.06666666666667,27.95613463626493,9.328121606948969,22.93333333333333,78.84386536373525,19.471878393051213,1.0,90.0,0.6716084318836615
134,51.55989813994685,29.107285208148806,10.83846324180691,25.440101860053147,77.89271479185119,21.16153675819309,5.0,0.0,0.763931146996126
135,38.18149466192171,22.912811387900355,6.903914590747331,16.76850533807822,59.03718861209958,13.046085409252601,1.0,0.0,0.7481212810892282
