class,R_mean,R_contrast,G_mean,G_contrast,B_mean,B_contrast,shared_freq,shared_angle,curve_complexity,area_frac,aspect_ratio,fill_fraction
134,51.55989813994685,25.440101860053147,29.107285208148806,77.89271479185119,10.83846324180691,21.16153675819309,5.0,0.0,0.763931146996126,0.02205078125,1.103448275862069,0.6082974137931034
135,38.18149466192171,16.76850533807822,22.912811387900355,59.03718861209958,6.903914590747331,13.046085409252601,1.0,0.0,0.7481212810892282,0.0013720703125,2.7058823529411766,0.7186700767263428
143,61.62210242587601,41.37789757412399,19.88409703504043,63.115902964959574,6.773584905660377,15.226415094339622,1.0,90.0,0.6639572322083913,0.00452880859375,2.4878048780487805,0.44356767097082733
154,103.89754370435938,69.10245629564062,30.31024562956406,74.93975437043594,8.344047355609648,13.655952644390352,1.0,90.0,0.6909246568879741,0.044130859375,0.801980198019802,0.5523774599682191
161,37.6665062560154,46.48349374398446,15.801251203079884,58.198748796920114,20.96679499518768,88.18320500481218,2.23606797749979,63.43494882292201,0.7551613360138328,0.0050732421875,3.216666666666667,0.17944732297063903
163,62.48275862068966,20.51724137931034,21.368275862068966,70.43172413793098,8.702068965517242,23.897931034482667,2.23606797749979,26.56505117707799,0.73975728571899,0.00177001953125,1.5476190476190477,0.26556776556776557
164,115.02978235967927,36.3702176403207,13.794959908361971,59.205040091638026,8.711340206185566,13.288659793814434,1.0,0.0,0.5468909874377049,0.00213134765625,0.717391304347826,0.575098814229249
165,53.98687845303867,27.26312154696133,21.401588397790054,61.84841160220995,9.087707182320441,20.912292817679557,4.242640687119285,45.0,0.7540046337854125,0.0070703125,1.3620689655172413,0.6320384111741597
166,53.0,20.5,39.29032258064516,66.20967741935485,11.96774193548387,16.032258064516128,3.605551275463989,33.690067525979785,0.722748388003202,7.568359375e-05,0.8571428571428571,0.7380952380952381
168,61.42901716068643,28.570982839313572,14.77483099323973,51.12516900676013,6.919916796671867,17.080083203328133,1.0,90.0,0.6746849943182884,0.00469482421875,0.7176470588235294,0.370877531340405
170,62.03387381602183,21.96612618397817,23.684218975758547,80.31578102424146,8.44918927596725,21.55081072403275,4.0,0.0,0.7418816794687315,0.01520751953125,0.782608695652174,0.6018357487922705
174,53.9447895100069,60.0552104899931,27.814814814814813,69.18518518518519,9.65930526800092,13.34069473199908,1.0,90.0,0.7274488755330751,0.01061279296875,2.673076923076923,0.6014111787493083
176,108.41855129465749,78.58144870534251,27.544411668305475,74.45558833169453,9.108379766196876,14.891620233803124,1.0,90.0,0.4970983656585056,0.02234619140625,1.0194174757281553,0.8463245492371706
177,35.79359430604982,13.206405693950181,24.01423487544484,56.98576512455516,8.604982206405694,17.395017793594306,2.8284271247461903,45.0,0.7244306516698134,0.00068603515625,0.4642857142857143,0.771978021978022
178,62.13072227873855,24.869277721261447,17.604272634791453,60.39572736520854,7.097151576805697,11.902848423194303,1.0,0.0,0.617879167724408,0.0047998046875,1.7884615384615385,0.4065343258891646
